page,clicks,impressions,ctr,position
https://breakyoursolarcontract.com/blog/how-to-get-out-of-a-solar-contract,10,797,1.25,23.6
https://breakyoursolarcontract.com/blog/goodleap-solar-loan-cancellation-hidden-fees-2026,7,665,1.05,7.4
https://breakyoursolarcontract.com/blog/blue-raven-solar-complaints,4,127,3.15,11.4
https://breakyoursolarcontract.com/cancel-solar-contract/denver-co,4,57,7.02,5.9
https://breakyoursolarcontract.com/,2,140,1.43,8.3
https://breakyoursolarcontract.com/blog/cancel-solar-contract-houston-tx,2,92,2.17,22.8
https://breakyoursolarcontract.com/blog/cancel-sunrun-solar-contract-before-installation,2,317,0.63,8.8
https://breakyoursolarcontract.com/blog/new-jersey-solar-contract-rights,2,204,0.98,6.4
https://breakyoursolarcontract.com/blog/solar-contract-military-families,2,17,11.76,6.2
https://breakyoursolarcontract.com/blog/solar-contract-rescission-rights,2,535,0.37,7.4
https://breakyoursolarcontract.com/blog/sunrun-complaints-california,2,340,0.59,8.7
https://breakyoursolarcontract.com/blog/sunrun-solar-contract-cancellation-2026,2,2994,0.07,7.4
https://breakyoursolarcontract.com/cancel-solar-contract/hartford-ct,2,113,1.77,5.7
https://breakyoursolarcontract.com/cancel-solar-contract/phoenix-az,2,103,1.94,12.2
https://breakyoursolarcontract.com/solar-contract-laws/massachusetts,2,28,7.14,6.9
https://breakyoursolarcontract.com/blog/adt-solar-cancellation-guide,1,24,4.17,26.3
https://breakyoursolarcontract.com/blog/cancel-solar-contract-atlanta-ga,1,17,5.88,8.2
https://breakyoursolarcontract.com/blog/cancel-solar-contract-rescission-rights,1,256,0.39,8.1
https://breakyoursolarcontract.com/blog/freedom-forever-solar-bankruptcy-what-homeowners-can-do-2026,1,171,0.58,8.4
https://breakyoursolarcontract.com/blog/solar-fraud-report-to-attorney-general,1,21,4.76,8.8
https://breakyoursolarcontract.com/cancel-solar-contract/austin-tx,1,11,9.09,10.5
https://breakyoursolarcontract.com/cancel-solar-contract/cincinnati-oh,1,21,4.76,8.4
https://breakyoursolarcontract.com/cancel-solar-contract/greenville-sc,1,19,5.26,9.2
https://breakyoursolarcontract.com/cancel-solar-contract/houston-tx,1,47,2.13,25.3
https://breakyoursolarcontract.com/cancel-solar-contract/north-las-vegas-nv,1,41,2.44,8.3
https://breakyoursolarcontract.com/cancel-solar-contract/san-antonio-tx,1,29,3.45,5.3
https://breakyoursolarcontract.com/cancel-solar-contract/topeka-ks,1,9,11.11,7.8
https://breakyoursolarcontract.com/cancel-solar-contract/west-valley-city-ut,1,16,6.25,8.8
https://breakyoursolarcontract.com/blog/adt-solar-complaints,0,32,0,9.0
https://breakyoursolarcontract.com/blog/austin-solar-loan-too-high,0,1,0,10
